"m.rt","m.st","m.lf","RmTm","SmTm","LmTm","tot","m.to","h.t","log_ht","leaf_habit","myc_group","Temp","Prec","study_species","Study","SppName","family","order"
9.077,28.498,2.771,0.224978932236157,0.706340157636445,0.068680910127398,40.346,40.346,11.2,2.41591377830105,"evergreen","ECM",5.06046867370605,670,"Albrektson1984_Pinus_sylvestris","Albrektson1984","Pinus_sylvestris","Pinaceae","Pinales"
7.762,37.78,2.862,0.160358648045616,0.780514007106851,0.0591273448475333,48.404,48.404,10.9,2.3887627892351,"evergreen","ECM",5.06046867370605,670,"Albrektson1984_Pinus_sylvestris","Albrektson1984","Pinus_sylvestris","Pinaceae","Pinales"
7.325,41.348,3.347,0.140811226451365,0.794848135332564,0.0643406382160708,52.02,52.02,12.4,2.51769647261099,"evergreen","ECM",5.06046867370605,670,"Albrektson1984_Pinus_sylvestris","Albrektson1984","Pinus_sylvestris","Pinaceae","Pinales"
8.251,31.065,4.19,0.189652002022709,0.714039442835471,0.0963085551418195,43.506,43.506,10.6,2.36085400111802,"evergreen","ECM",5.06046867370605,670,"Albrektson1984_Pinus_sylvestris","Albrektson1984","Pinus_sylvestris","Pinaceae","Pinales"
8.696,37.687,3.363,0.17480802476581,0.757588549833152,0.0676034254010373,49.746,49.746,11.8,2.46809953147162,"evergreen","ECM",5.06046867370605,670,"Albrektson1984_Pinus_sylvestris","Albrektson1984","Pinus_sylvestris","Pinaceae","Pinales"
4.723,26.662,2.996,0.137372385910823,0.775486460545068,0.0871411535441087,34.381,34.381,10.3,2.33214389523559,"evergreen","ECM",5.06046867370605,670,"Albrektson1984_Pinus_sylvestris","Albrektson1984","Pinus_sylvestris","Pinaceae","Pinales"
7.5,39.74,4.14,0.145971195017517,0.773452705332814,0.0805760996496691,51.38,51.41,9.6,2.26176309847379,"evergreen","AM",15.3941345214844,1704,"Ando1973_Acacia_mearnsii","Ando1973","Acacia_mearnsii","Fabaceae","Fabales"
3.74,15.97,1.74,0.174358974358974,0.744522144522144,0.0811188811188811,21.45,21.46,8.2,2.10413415427021,"evergreen","AM",15.3941345214844,1704,"Ando1973_Acacia_mearnsii","Ando1973","Acacia_mearnsii","Fabaceae","Fabales"
2.43,8.47,0.41,0.214854111405836,0.748894783377542,0.0362511052166225,11.31,11.311,7.5,2.01490302054226,"evergreen","AM",15.3941345214844,1704,"Ando1973_Acacia_mearnsii","Ando1973","Acacia_mearnsii","Fabaceae","Fabales"
6.2,29.32,4.7,0.154152163102934,0.728990551964197,0.116857284932869,40.22,40.31,9.3,2.23001440015921,"evergreen","AM",15.3941345214844,1704,"Ando1973_Acacia_mearnsii","Ando1973","Acacia_mearnsii","Fabaceae","Fabales"
2.14,8.73,0.77,0.183848797250859,0.75,0.0661512027491409,11.64,11.66,8.3,2.11625551480255,"evergreen","AM",15.3941345214844,1704,"Ando1973_Acacia_mearnsii","Ando1973","Acacia_mearnsii","Fabaceae","Fabales"
0.85,2.33,0.29,0.244956772334294,0.671469740634006,0.0835734870317003,3.47,3.48,6.3,1.84054963339749,"evergreen","AM",15.3941345214844,1704,"Ando1973_Acacia_mearnsii","Ando1973","Acacia_mearnsii","Fabaceae","Fabales"
3.71,13.13,1.44,0.202954048140044,0.718271334792123,0.0787746170678337,18.28,18.32,8.3,2.11625551480255,"evergreen","AM",15.3941345214844,1704,"Ando1973_Acacia_dealbata","Ando1973","Acacia_dealbata","Fabaceae","Fabales"
1.79,4.11,0.2,0.29344262295082,0.673770491803279,0.0327868852459016,6.1,6.11,7.3,1.98787434815435,"evergreen","AM",15.3941345214844,1704,"Ando1973_Acacia_dealbata","Ando1973","Acacia_dealbata","Fabaceae","Fabales"
8.47,32.88,5.42,0.181098995082318,0.703014753046825,0.115886251870857,46.77,46.92,10.4,2.34180580614733,"evergreen","AM",15.3941345214844,1704,"Ando1973_Acacia_dealbata","Ando1973","Acacia_dealbata","Fabaceae","Fabales"
7.66,30.09,4.35,0.181947743467933,0.714726840855107,0.10332541567696,42.1,42.42,10.5,2.35137525716348,"evergreen","AM",15.3941345214844,1704,"Ando1973_Acacia_dealbata","Ando1973","Acacia_dealbata","Fabaceae","Fabales"
1.09,4.67,0.68,0.169254658385093,0.725155279503106,0.105590062111801,6.44,6.49,6.6,1.88706964903238,"evergreen","AM",15.3941345214844,1704,"Ando1973_Acacia_dealbata","Ando1973","Acacia_dealbata","Fabaceae","Fabales"
1.69,7.46,0.54,0.174406604747162,0.769865841073271,0.0557275541795666,9.69,9.73,7.8,2.05412373369555,"evergreen","AM",15.3941345214844,1704,"Ando1973_Acacia_dealbata","Ando1973","Acacia_dealbata","Fabaceae","Fabales"
2.031,3.757651519,1.694821163,0.271398064281729,0.502126710242195,0.226475225476075,7.483472682,7.484,4.37,1.4747630091075,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
1.333,3.0249158,1.343333333,0.233808410911974,0.530570709932875,0.235620879155151,5.701249133,5.701249133,4.22,1.43983512804792,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.26985,0.570549,0.246963351,0.248169342769529,0.524709173050999,0.227121484179472,1.087362351,1.087362351,2.64,0.970778917158225,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
1.4418,2.070021389,1.601645796,0.281961328358461,0.404817575650483,0.313221095991056,5.113467185,5.113467185,2.68,0.985816794522765,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.15437,0.539240285,0.137679558,0.18569936984061,0.648679025180872,0.165621604978518,0.831289843,0.831289843,1.62,0.482426149244293,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
1.04559,3.135147826,1.654117647,0.179197240589476,0.537313707341591,0.283489052068934,5.834855473,5.834855473,3.67,1.30019166206648,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
3.82335,7.313855034,3.493303201,0.261327216976205,0.499904372187382,0.238768410836413,14.630508235,14.63050823,5.33,1.67335123817775,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
1.6813,4.017970878,1.836084346,0.223121531768679,0.533215854934459,0.243662613296862,7.535355224,7.535355224,3.71,1.31103187661934,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
1.13013,2.525991426,1.163636364,0.234478587771524,0.524090947317085,0.241430464911391,4.81975779,4.81975779,3.1,1.1314021114911,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
2.33931,5.641051633,3.037090909,0.212327667496841,0.512010522531915,0.275661809971244,11.017452542,11.01745254,4.25,1.44691898293633,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
1.65223,3.074804891,1.079194434,0.284561616070857,0.529570004712137,0.185868379217006,5.806229325,5.806229325,3.52,1.25846098961001,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
1.92476,4.347295258,2.013811007,0.23229435987041,0.524663942062792,0.243041698066798,8.285866265,8.285866265,3.76,1.3244189574018,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.25284,0.78349375,0.229254808,0.199780567232341,0.619074615559222,0.181144817208437,1.265588558,1.265588558,2.34,0.85015092936961,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
1.70967,2.947608146,1.779560606,0.26560708849026,0.457927914550313,0.276464996959427,6.436838752,6.436838752,3.73,1.31640823365572,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
4.36006,8.910413018,3.772033093,0.255834439583144,0.522834667622552,0.221330892794303,17.042506111,17.04250611,4.86,1.5810384379124,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.94489,1.992545483,1.009541026,0.239395901608595,0.504828310595856,0.255775787795549,3.946976509,3.946976509,3.5,1.25276296849537,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
2.33783,4.383465269,1.45318749,0.285991183653312,0.536237630958835,0.177771185387853,8.174482759,8.174482758,4.71,1.54968790802833,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.71784,1.552937222,0.66760274,0.244297881582137,0.528501161212316,0.227200957205547,2.938379962,2.938379962,2.61,0.959350221334602,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
1.0871,2.338877,1.450802139,0.222913519151682,0.479594612209483,0.297491868638835,4.876779139,4.876779139,3.01,1.10194007876078,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
3.6358,7.07954261,3.486342505,0.256011872574179,0.498500181680729,0.245487945745092,14.201685115,14.20168511,4.01,1.38879124131848,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
2.10386,3.387109565,1.276669623,0.310870591879432,0.50048613274269,0.188643275377878,6.767639188,6.767639188,3.9,1.3609765531356,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
2.03028,3.5295975,1.333836486,0.294511783361359,0.512002312130737,0.193485904507904,6.893713986,6.893713986,4.3,1.45861502269952,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.47672,1.013664889,1.22186,0.17576583955727,0.373736491535518,0.450497668907212,2.712244889,2.712244889,2.81,1.03318448334565,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.63993,1.352497333,1.1772,0.201894397280552,0.426705473832434,0.371400128887013,3.169627333,3.169627333,3.05,1.11514159061932,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.21151,0.3754862,0.514588235,0.19200525468572,0.340860117545143,0.467134627769137,1.101584435,1.101584435,1.97,0.678033542749897,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.58301,1.337332323,1.454894,0.17273160875497,0.396218870331232,0.431049520913798,3.375236323,3.375236323,2.4,0.8754687373539,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.38863,0.6299675,0.642495,0.23396048082813,0.379248897939158,0.386790621232713,1.6610925,1.6610925,2.2,0.78845736036427,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.4275,0.9586358,0.924775,0.184991995363906,0.414830291156197,0.400177713479897,2.3109108,2.3109108,3,1.09861228866811,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.13201,0.3304114,0.301608,0.172781309200929,0.432459012702914,0.394759678096157,0.7640294,0.7640294,1.85,0.615185639090233,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.03073,0.033333333,0.06804,0.232620928648333,0.252327721360369,0.515051349991298,0.132103333,0.132290333,0.81,-0.210721031315653,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.51652,1.042161625,1.348507059,0.177669926566074,0.358477463377468,0.463852610056458,2.907188684,2.907188684,2.77,1.01884732019925,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.29746,0.5003553,0.762805,0.190603697773251,0.320613092114719,0.48878321011203,1.5606203,1.5606203,2.15,0.765467842139571,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.10953,0.189400417,0.30888,0.180204216539448,0.311611008470097,0.508184774990456,0.607810417,0.607810417,1.71,0.536493370514568,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.38422,1.022498182,0.885003333,0.167655623724421,0.446170346312781,0.386174029962799,2.291721515,2.291721515,2.72,1.00063188030791,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.48171,0.70962636,0.853765,0.235543337568364,0.346988356606442,0.417468305825194,2.04510136,2.04510136,2.25,0.810930216216329,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.2546,0.44755625,0.48939,0.213671940975854,0.375609633281125,0.410718425743021,1.19154625,1.19154625,2.15,0.765467842139571,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.59203,0.750958636,0.99176,0.253573335849247,0.321644319401585,0.424782344749167,2.334748636,2.334748636,2.27,0.819779831493311,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.38909,0.680415044,0.762624,0.212370412048334,0.371379432157509,0.416250155794157,1.832129044,1.832129044,2.32,0.841567185678219,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.21501,0.417882714,0.55272,0.181349269842597,0.352461397440784,0.466189332716619,1.185612714,1.185612714,2,0.693147180559945,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.58124,1.07501933,1.120931667,0.209290610774654,0.387088727840925,0.403620661384421,2.777190997,2.777190996,2.36,0.858661619037519,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
0.57328,1.191347583,1.469437143,0.177262995199559,0.368374687563381,0.454362317237061,3.234064726,3.234064726,2.96,1.08518926833597,"evergreen","ECM",16.8713569641113,1395,"Aspinwall2013_Pinus_taeda","Aspinwall2013","Pinus_taeda","Pinaceae","Pinales"
